School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
MILLER HIGH SCHOOL,Ohio,OHIO,Miller High School,3903478,Perry County,39127,†,10397 State Route 155 SE,Corning,43730,10397 State Route 155 SE,7407210521,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.591203,-82.141298,OH-049064-024851,High,1-Yes,1-Yes,1-Yes,1-Yes,240,140,50,40,25,25,107,133,23.00,10.43
MILLER HIGH SCHOOL - 01,South Dakota,SOUTH DAKOTA,Miller High School - 01,4600430,Hand County,46059,http://www.miller.k12.sd.us,623 E 4th St,Miller,57362,PO Box 257,6058532455,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,44.519859,-98.979558,SD-29004-01,High,1-Yes,1-Yes,1-Yes,1-Yes,141,141,28,31,47,35,72,69,12.96,10.88
MILLER JOHN F,Nevada,NEVADA,Miller John F,3200384,Clark County,32003,†,3840 Pecos McLeod Interconnect,Las Vegas,89121,3840 Pecos McLeod Interconnect,7027997401,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,36.121185,-115.102556,NV-02-02215,Other,1-Yes,1-Yes,1-Yes,1-Yes,102,33,6,8,10,9,61,41,23.00,4.43
MILLER PARK CENTER,Missouri,MISSOURI,MILLER PARK CENTER,2903135,Jackson County,29095,http://mp.lsr7.org,600 SE MILLER STREET,LEE'S SUMMIT,64063,600 SE MILLER STREET,8169861540,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.907403,-94.374728,MO-048071-1030048071,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
MILLER PLACE HIGH SCHOOL,New York,NEW YORK,MILLER PLACE HIGH SCHOOL,3601773,Suffolk County,36103,http://www.millerplace.k12.ny.us,15 MEMORIAL DR,MILLER PLACE,11764,15 MEMORIAL DR,6314742723,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.934100,-72.990200,NY-580208020000-580208020003,High,1-Yes,1-Yes,1-Yes,1-Yes,764,763,179,177,214,193,399,364,66.68,11.46
MILLER SPECIAL EDUCATION,Colorado,COLORADO,Miller Special Education,0800756,Jefferson County,08059,†,200 KIPLING STREET,LAKEWOOD,80226,200 KIPLING STREET,3039827200,2-Special education school,1-Regular local school district that is NOT a component of a supervisory union,39.719700,-105.108100,CO-1420-5892,Other,1-Yes,1-Yes,1-Yes,1-Yes,97,39,7,5,3,24,50,47,19.00,5.11
MILLERSBURG AREA HIGH SCHOOL,Pennsylvania,PENNSYLVANIA,Millersburg Area High School,4201794,Dauphin County,42043,http://www.mlbgsd.k12.pa.us,799 Center St,Millersburg,17061,799 Center St,7176922108,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.543071,-76.951909,PA-115226103-1794,High,1-Yes,1-Yes,1-Yes,1-Yes,207,207,51,43,58,55,112,95,22.10,9.37
MILLERSPORT JR/SR HIGH SCHOOL,Ohio,OHIO,Millersport Jr/Sr High School,3902695,Fairfield County,39045,†,11850 Lancaster St,Millersport,43046,11850 Lancaster St,7404672929,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.893600,-82.533500,OH-046904-039081,High,1-Yes,1-Yes,1-Yes,1-Yes,260,149,42,49,31,27,139,121,18.20,14.29
MILLIKAN HIGH,California,CALIFORNIA,Millikan High,0602745,Los Angeles County,06037,†,2800 Snowden Ave.,Long Beach,90815,2800 Snowden Ave.,5624257441,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.807758,-118.109840,CA-1964725-1935758,High,1-Yes,1-Yes,1-Yes,1-Yes,3408,3408,900,838,847,823,1763,1641,135.67,25.12
MILLINGTON CENTRAL MIDDLE HIGH SCHOOL,TENNESSEE,TENNESSEE,Millington Central Middle High School,4701587,Shelby County,47157,http://www.mchs.millingtonschools.org,8050 West ST,Millington,38053,8050 West ST,9018738100,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.345542,-89.897194,TN-00798-0130,High,1-Yes,1-Yes,1-Yes,1-Yes,1193,816,208,195,207,206,586,607,–,–
MILLINGTON HIGH SCHOOL,Michigan,MICHIGAN,Millington High School,2606075,Tuscola County,26157,http://www.mcsdistrict.com,8780 DEAN DR,MILLINGTON,48746,8780 DEAN DR,9896602407,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.273990,-83.518909,MI-79100-02570,High,1-Yes,1-Yes,1-Yes,1-Yes,358,354,92,89,84,89,195,163,18.32,19.54
MILLIS HIGH SCHOOL,Massachusetts,MASSACHUSETTS,Millis High School,2501255,Norfolk County,25021,http://www.millisps.org,245 Plain Street,Millis,02054,245 Plain Street,5083767010,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.162639,-71.357740,MA-0187-01870505,High,1-Yes,1-Yes,1-Yes,1-Yes,286,286,64,79,64,79,135,149,26.73,10.70
MILLRY HIGH SCHOOL,Alabama,ALABAMA,Millry High School,0101339,Washington County,01129,http://wcbek12.org,1 Wildcat Drive,Millry,36558,PO Box 65,2518462987,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,31.640138,-88.314976,AL-065-0060,Other,1-Yes,1-Yes,1-Yes,1-Yes,509,151,49,29,36,37,271,238,30.08,16.92
MILLS E. GODWIN HIGH,Virginia,VIRGINIA,Mills E. Godwin High,5101851,Henrico County,51087,†,2101 Pump Rd,Richmond,23238,2101 Pump Rd,8047502600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.619914,-77.604645,VA-043-0430140,High,1-Yes,1-Yes,1-Yes,1-Yes,1702,1702,410,432,410,450,853,849,98.00,17.37
MILLS HIGH,California,CALIFORNIA,Mills High,0605924,San Mateo County,06081,http://mhs.smuhsd.org,400 Murchison Dr.,Millbrae,94030,400 Murchison Dr.,6505582599,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.594300,-122.390600,CA-4169047-4134557,High,1-Yes,1-Yes,1-Yes,1-Yes,1115,1115,274,278,288,275,579,535,54.41,20.49
MILLS UNIVERSITY STUDIES HIGH SCHOOL,Arkansas,ARKANSAS,MILLS UNIVERSITY STUDIES HIGH SCHOOL,0500945,Pulaski County,05119,http://www.pcssd.org,708 E. DIXON ROAD,LITTLE ROCK,72206,708 E DIXON RD,5014905700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.674367,-92.257443,AR-6003000-6003125,High,1-Yes,1-Yes,1-Yes,1-Yes,612,612,173,176,146,117,332,280,51.50,11.88
MILLSAP H S,Texas,TEXAS,MILLSAP H S,4803477,Parker County,48367,http://www.MillsapISD.net,600 BULLDOG BLVD,MILLSAP,76066,600 BULLDOG BLVD,9402742694,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.758017,-98.005313,TX-184904-184904001,High,1-Yes,1-Yes,1-Yes,1-Yes,301,301,77,70,76,78,157,144,30.81,9.77
MILLSAPS CAREER & TECH CENTER,MISSISSIPPI,MISSISSIPPI,MILLSAPS CAREER & TECH CENTER,2801458,Oktibbeha County,28105,†,803 LOUISVILLE ROAD,STARKVILLE,39759,803 LOUISVILLE ROAD,6623244170,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,33.449984,-88.820329,MS-5321-5321090,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
MILLVILLE AREA JSHS,Pennsylvania,PENNSYLVANIA,Millville Area JSHS,4201623,Columbia County,42037,http://www.millsd.us/,345 School House Lane,Millville,17846,PO Box 260,5704585538,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.123800,-76.526900,PA-116195004-1623,High,1-Yes,1-Yes,1-Yes,1-Yes,234,148,46,41,28,33,118,116,32.87,7.12
MILLVILLE HIGH SCHOOL,New Jersey,NEW JERSEY,Millville High School,3401868,Cumberland County,34011,http://mhs.millville.org,200 WADE BLVD,MILLVILLE,08332,200 WADE BLVD,8563276040,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.398604,-75.019389,NJ-113230-050,High,1-Yes,1-Yes,1-Yes,1-Yes,1687,1687,480,390,396,421,885,800,119.00,14.18
MILLWOOD HS,Oklahoma,OKLAHOMA,MILLWOOD HS,4002068,Oklahoma County,40109,http://millwoodps.org,6718 North Martin Luther King Avenue,Oklahoma City,73111,6718 North Martin Luther King Avenue,4054780504,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.540830,-97.475822,OK-55-I037-55-I037-705,High,1-Yes,1-Yes,1-Yes,1-Yes,317,317,86,80,70,81,184,133,17.50,18.11
MILNOR HIGH SCHOOL,North Dakota,NORTH DAKOTA,MILNOR HIGH SCHOOL,3800427,Sargent County,38081,http://www.milnor.k12.nd.us,530 5th St,Milnor,58060,PO Box 369,7014275237,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.260904,-97.455377,ND-41002-57193,High,1-Yes,1-Yes,1-Yes,1-Yes,77,46,11,15,10,10,36,41,16.50,4.67
MILPITAS HIGH,California,CALIFORNIA,Milpitas High,0603666,Santa Clara County,06085,†,1285 Escuela Pkwy.,Milpitas,95035,1285 Escuela Pkwy.,4086352800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.450763,-121.900550,CA-4373387-4334470,High,1-Yes,1-Yes,1-Yes,1-Yes,2926,2926,772,721,739,694,1477,1447,136.39,21.45
MILPITAS MIDDLE COLLEGE HIGH,CALIFORNIA,CALIFORNIA,Milpitas Middle College High,0614571,Santa Clara County,06085,http://sites.google.com/musd.org/mmchs,1450 Escuela Pkwy.,Milpitas,95035,1450 Escuela Pkwy.,4089475355,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.453597,-121.901244,CA-4373387-0140673,High,1-Yes,1-Yes,1-Yes,1-Yes,55,55,0,8,22,25,24,31,3.17,17.35
MILTON C PORTER ED CENTER,Michigan,MICHIGAN,Milton C Porter Ed Center,2600606,Lenawee County,26091,http://www.lisd.us,2946 SUTTON RD,ADRIAN,49221,2946 SUTTON RD,5172638931,2-Special education school,9-Specialized public school district,41.949700,-83.966500,MI-46000-00565,Other,1-Yes,1-Yes,1-Yes,1-Yes,105,33,10,10,7,6,72,33,31.52,3.33
MILTON HIGH,Massachusetts,MASSACHUSETTS,Milton High,2501262,Norfolk County,25021,http://www.miltonps.org,25 Gile Road,Milton,02186,25 Gile Road,6176964470,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.251590,-71.087037,MA-0189-01890505,High,1-Yes,1-Yes,1-Yes,1-Yes,1083,1074,277,291,241,265,540,535,87.12,12.43
MILTON HIGH,Wisconsin,WISCONSIN,Milton High,5501118,Rock County,55105,http://www.milton.k12.wi.us,114 W High St,Milton,53563,114 W High St,6088689300,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.774440,-88.955320,WI-3612-0100,High,1-Yes,1-Yes,1-Yes,1-Yes,1057,1057,276,255,257,269,545,506,62.10,17.02
MILTON HIGH SCHOOL,Florida,FLORIDA,MILTON HIGH SCHOOL,1201826,Santa Rosa County,12113,http://www.santarosa.k12.fl.us/schools/mhs/,5445 STEWART ST,MILTON,32570,5445 STEWART ST,8509835600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,30.632793,-87.044880,FL-57-0151,High,1-Yes,1-Yes,1-Yes,1-Yes,1985,1985,511,502,485,487,1007,978,84.50,23.49
MILTON HIGH SCHOOL,Georgia,GEORGIA,Milton High School,1301005,Fulton County,13121,†,13025 Birmingham Hwy,Alpharetta,30004,13025 Birmingham Hwy,4702547000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.099500,-84.336400,GA-660-0106,High,1-Yes,1-Yes,1-Yes,1-Yes,1999,1999,489,513,481,516,952,1047,108.70,18.39
MILTON HS,Pennsylvania,PENNSYLVANIA,Milton HS,4203541,Northumberland County,42097,†,700 Mahoning St,Milton,17847,700 Mahoning St,5707427614,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.009651,-76.841228,PA-116495003-3541,High,1-Yes,1-Yes,1-Yes,1-Yes,608,608,137,158,162,151,326,282,50.75,11.98
MILTON M DANIELS LEARNING CENTER,North Carolina,NORTH CAROLINA,Milton M Daniels Learning Center,3702423,Wilson County,37195,http://daniels.wilsonschoolsnc.net/,723 Elvie Street,Wilson,27893,723 Elvie Street,2523997900,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,35.712500,-77.907600,NC-980-306,Other,1-Yes,1-Yes,1-Yes,1-Yes,62,3,2,1,0,0,45,17,9.00,6.89
MILTON SENIOR HIGH SCHOOL,Vermont,VERMONT,Milton Senior High School,5000125,Chittenden County,50007,http://mhs.mtsd-vt.org/,17 Rebecca Lander Drive,Milton,05468,17 Rebecca Lander Drive,8028935400,1-Regular school,2-Local school district that is a component of a supervisory union,44.629059,-73.118942,VT-T126-PS186,High,1-Yes,1-Yes,1-Yes,1-Yes,394,394,94,106,98,96,186,208,42.17,9.34
MILTON-UNION HIGH SCHOOL,Ohio,OHIO,Milton-Union High School,3902259,Miami County,39109,†,7640 Milton Potsdam Rd,West Milton,45383,7640 Milton Potsdam Rd,9378847940,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.963131,-84.344820,OH-045518-024984,High,1-Yes,1-Yes,1-Yes,1-Yes,369,369,112,113,76,68,187,182,20.00,18.45
MILTONVALE ELEM,Kansas,KANSAS,Miltonvale Elem,2000649,Cloud County,20029,http://www.sc334.org,520 Oak Street,Miltonvale,67466,Box 394,7854273365,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.352200,-97.456700,KS-D0334-3836,Other,1-Yes,1-Yes,1-Yes,1-Yes,36,2,0,0,2,0,18,18,5.69,6.33
MILWAUKEE ACADEMY OF SCIENCE,Wisconsin,WISCONSIN,Milwaukee Academy of Science,5502234,Milwaukee County,55079,http://www.milwaukeeacademyofscience.org,2000 W Kilbourn Ave,Milwaukee,53233,2000 W Kilbourn Ave,4149330302,1-Regular school,7-Independent Charter District,43.042119,-87.939429,WI-8008-8106,Other,1-Yes,1-Yes,1-Yes,1-Yes,1711,393,131,101,88,73,854,857,97.30,17.58
MILWAUKEE COUNTY COMMUNITY REINTEGRATION CENTER,Wisconsin,WISCONSIN,Milwaukee County Community Reintegration Center,5502685,Milwaukee County,55079,†,8885 S 68th St,Franklin,53132,8885 S 68th St,4145257630,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.879240,-88.001970,WI-1900-0400,High,1-Yes,1-Yes,1-Yes,1-Yes,31,31,0,0,0,31,26,5,1.50,20.67
MILWAUKEE COUNTY YOUTH EDUCATION CENTER,Wisconsin,WISCONSIN,Milwaukee County Youth Education Center,5501306,Milwaukee County,55079,http://www.milwaukee.k12.wi.us,949 N 9th St,Milwaukee,53233,949 N 9th St,4142267330,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,43.042600,-87.923600,WI-3619-0315,High,1-Yes,1-Yes,1-Yes,1-Yes,‡,–,‡,‡,‡,‡,‡,‡,2.00,–
MILWAUKEE HIGH SCHOOL OF THE ARTS,Wisconsin,WISCONSIN,Milwaukee High School of the Arts,5502339,Milwaukee County,55079,http://www.milwaukee.k12.wi.us,2300 W Highland Ave,Milwaukee,53233,2300 W Highland Ave,4149347000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.044800,-87.941800,WI-3619-0038,High,1-Yes,1-Yes,1-Yes,1-Yes,959,959,289,229,248,193,349,610,62.95,15.23
MILWAUKEE SCHOOL OF LANGUAGES,Wisconsin,WISCONSIN,Milwaukee School of Languages,5501273,Milwaukee County,55079,http://www.milwaukee.k12.wi.us,8400 W Burleigh St,Milwaukee,53222,8400 W Burleigh St,4143935700,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.076003,-88.018758,WI-3619-0071,High,1-Yes,1-Yes,1-Yes,1-Yes,964,499,141,110,111,137,479,485,59.70,16.15
MILWAUKIE ACADEMY OF THE ARTS,Oregon,OREGON,Milwaukie Academy of the Arts,4101686,Clackamas County,41005,http://www.nclack.k12.or.us/Domain/1478,11300 SE 23rd Ave,Milwaukie,97222,11300 SE 23rd Ave,5033535834,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.441203,-122.638856,OR-00000000001924-00000000000000004369,High,1-Yes,1-Yes,1-Yes,1-Yes,281,281,60,79,78,64,82,152,0.66,425.76
MILWAUKIE HIGH SCHOOL,Oregon,OREGON,Milwaukie High School,4100094,Clackamas County,41005,http://www.nclack.k12.or.us/Domain/544,2301 SE Willard St.,Milwaukie,97222,2301 SE Willard St.,5033535830,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.441119,-122.637510,OR-00000000001924-00000000000000000086,High,1-Yes,1-Yes,1-Yes,1-Yes,874,874,207,233,225,209,513,351,51.77,16.88
MIMBRES VALLEY HIGH SCHOOL,NEW MEXICO,NEW MEXICO,MIMBRES VALLEY HIGH SCHOOL,3501140,Luna County,35029,http://dhs.demingps.org,1400 SOUTH IRON ST,DEMING,88030,1400 SOUTH IRON ST,5755431049,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.255103,-107.761213,NM-35042000-35042045,High,1-Yes,1-Yes,1-Yes,1-Yes,66,66,0,0,32,34,39,27,5.21,12.67
MINARETS CHARTER HIGH,California,CALIFORNIA,Minarets Charter High,0613035,Madera County,06039,http://www.chawanakee.k12.ca.us,45077 Road 220,O'Neals,93645,PO Box 208,5598688689,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.124457,-119.729959,CA-2075606-0125021,High,1-Yes,1-Yes,1-Yes,1-Yes,165,165,41,31,49,44,89,75,6.94,23.78
MINARETS HIGH,California,CALIFORNIA,Minarets High,0612212,Madera County,06039,http://www.chawanakee.k12.ca.us,45077 Road 200,O'Neals,93645,PO Box 186,5598688689,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.124457,-119.729959,CA-2075606-0117010,High,1-Yes,1-Yes,1-Yes,1-Yes,265,265,78,80,54,53,136,128,16.20,16.36
MINATARE HIGH SCHOOL,Nebraska,NEBRASKA,MINATARE HIGH SCHOOL,3101263,Scotts Bluff County,31157,†,1107 7TH ST,MINATARE,69356,1107 7TH ST,3087831733,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.812800,-103.501192,NE-790002000-790002001,High,1-Yes,1-Yes,1-Yes,1-Yes,48,48,16,11,12,9,25,23,6.53,7.35
MINCO HS,Oklahoma,OKLAHOMA,MINCO HS,4029671,Grady County,40051,http://www.minco.k12.ok.us/,701 SW 3rd Street,Minco,73059,Post Office Box 428,4053524377,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.306075,-97.950231,OK-26-I002-26-I002-715,High,1-Yes,1-Yes,1-Yes,1-Yes,190,190,52,48,49,41,95,95,14.40,13.19
MINDEN HIGH SCHOOL,Nebraska,NEBRASKA,MINDEN HIGH SCHOOL,3101266,Kearney County,31099,†,622 WEST THIRD,MINDEN,68959,622 WEST THIRD,3088322254,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.498199,-98.958229,NE-500503000-500503001,High,1-Yes,1-Yes,1-Yes,1-Yes,272,272,72,66,60,74,127,145,23.54,11.55
MINDEN HIGH SCHOOL,Louisiana,LOUISIANA,Minden High School,2201444,Webster Parish,22119,†,1103 S College St,Minden,71055,P.O. Box 838,3183772766,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.619350,-93.288890,LA-060-060012,High,1-Yes,1-Yes,1-Yes,1-Yes,689,689,154,164,191,180,341,348,49.17,14.01
MINEOLA H S,Texas,TEXAS,MINEOLA H S,4803480,Wood County,48499,†,900 W PATTEN,MINEOLA,75773,1695 W LOOP 564,9035693000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.670968,-95.499579,TX-250903-250903001,High,1-Yes,1-Yes,1-Yes,1-Yes,492,492,114,149,112,117,233,259,52.56,9.36
MINEOLA HIGH SCHOOL,New York,NEW YORK,MINEOLA HIGH SCHOOL,3601780,Nassau County,36059,http://www.mineola.k12.ny.us,10 ARMSTRONG RD,GARDEN CITY PARK,11040,10 ARMSTRONG RD,5162372600,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.742000,-73.657700,NY-280410030000-280410030006,High,1-Yes,1-Yes,1-Yes,1-Yes,1090,861,202,226,197,236,571,519,105.38,10.34
MINER ACADEMY,Arkansas,ARKANSAS,MINER ACADEMY,0501590,Saline County,05125,http://bauxiteminers.org,800 SCHOOL STREET,BAUXITE,72011,800 SCHOOL ST.,5015575000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.553522,-92.510830,AR-6301000-6301703,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,2.73,0.00
MINERAL COUNTY ALTERNATIVE PROGRAM,West Virginia,WEST VIRGINIA,Mineral County Alternative Program,5400712,Mineral County,54057,http://www.boe.mine.k12.wv.us/o/mcap,89 Baker Pl,Keyser,26726,89 Baker Pl,3047884213,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,39.427183,-78.988996,WV-5300000-53601,Other,1-Yes,1-Yes,1-Yes,1-Yes,4,4,1,0,3,0,2,2,4.00,1.00
MINERAL COUNTY HIGH SCHOOL,Nevada,NEVADA,Mineral County High School,3200183,Mineral County,32021,http://www.nvmcsd.org/our-schools/mineral-county-high-school,601 A St,Hawthorne,89415,PO Box 938,7759453332,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.526407,-118.629443,NV-11-11601,High,1-Yes,1-Yes,1-Yes,1-Yes,128,127,34,33,28,32,72,56,10.98,11.66
MINERAL COUNTY TECHNICAL CENTER,West Virginia,WEST VIRGINIA,Mineral County Technical Center,5400720,Mineral County,54057,http://www.boe.mine.k12.wv.us/o/mctc,981 Harley O Staggers Dr,Keyser,26726,981 Harley O Staggers Dr,3047884240,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,39.428054,-78.987423,WV-5300000-53701,High,1-Yes,1-Yes,1-Yes,1-Yes,†,†,†,†,†,†,†,†,15.88,–
MINERAL POINT HIGH,Wisconsin,WISCONSIN,Mineral Point High,5501276,Iowa County,55049,http://www.mineralpointschools.org,705 Ross St,Mineral Point,53565,705 Ross St,6089870730,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,42.864100,-90.196000,WI-3633-0080,High,1-Yes,1-Yes,1-Yes,1-Yes,253,253,64,65,60,64,139,114,19.58,12.92
MINERAL RIDGE HIGH SCHOOL,Ohio,OHIO,Mineral Ridge High School,3903889,Trumbull County,39155,†,1334 Seaborn St,Mineral Ridge,44440,1334 Seaborn St,3306521451,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.144600,-80.771800,OH-050252-025023,High,1-Yes,1-Yes,1-Yes,1-Yes,409,266,71,81,53,61,223,186,30.00,13.63
MINERAL SPRINGS HIGH SCHOOL,Arkansas,ARKANSAS,MINERAL SPRINGS HIGH SCHOOL,0500717,Howard County,05061,http://www.msisd.net/,130 WEST MCCRARY ST,MINERAL SPRINGS,71851,130 W MCCRARY,8702874747,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,33.877753,-93.919336,AR-3104000-3104006,High,1-Yes,1-Yes,1-Yes,1-Yes,197,128,30,35,31,32,107,90,36.52,5.39
MINERAL WELLS SCHOOLS,Texas,TEXAS,MINERAL WELLS SCHOOLS,4803487,Palo Pinto County,48363,http://www.mwisd.net,3801 RAM BLVD,MINERAL WELLS,76067,3801 RAM BLVD,9403254408,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,32.816884,-98.077740,TX-182903-182903001,Other,1-Yes,1-Yes,1-Yes,1-Yes,3275,922,256,247,200,219,1755,1520,213.56,15.34
MINERSVILLE AREA JSHS,Pennsylvania,PENNSYLVANIA,Minersville Area JSHS,4206583,Schuylkill County,42107,http://www.battlinminers.com,40 High School Lane,Pottsville,17901,40 High School Lane,5705441400,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.694600,-76.268500,PA-129544703-6583,High,1-Yes,1-Yes,1-Yes,1-Yes,481,338,87,89,82,80,260,221,34.96,13.76
MINERVA CENTRAL SCHOOL,New York,NEW YORK,MINERVA CENTRAL SCHOOL,3601782,Essex County,36031,http://www.minervacsd.org,1466 COUNTY RT 29,OLMSTEDVILLE,12857,PO BOX 39,5182512000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,43.769600,-73.936800,NY-150801040000-150801040001,Other,1-Yes,1-Yes,1-Yes,1-Yes,104,35,9,8,10,8,46,58,23.00,4.52
MINERVA HIGH SCHOOL,Ohio,OHIO,Minerva High School,3903737,Stark County,39151,†,501 Almeda Ave,Minerva,44657,501 Almeda Ave,3308684134,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,40.735455,-81.097733,OH-049890-025056,High,1-Yes,1-Yes,1-Yes,1-Yes,424,424,128,149,71,76,210,214,26.82,15.81
MINFORD HIGH SCHOOL,Ohio,OHIO,Minford High School,3903649,Scioto County,39145,†,491 Bond Rd,Minford,45653,PO Box 204,7408203445,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,38.861189,-82.853386,OH-049627-025080,High,1-Yes,1-Yes,1-Yes,1-Yes,295,295,78,95,59,63,148,147,17.00,17.35
MINGO CENTRAL COMPREHENSIVE HIGH SCHOOL,West Virginia,WEST VIRGINIA,Mingo Central Comprehensive High School,5401485,Mingo County,54059,†,1000 King Coal Highway,Delbarton,25670,1000 King Coal Highway,3044266603,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.641458,-82.084923,WV-5400000-54508,High,1-Yes,1-Yes,1-Yes,1-Yes,624,624,167,158,149,150,340,284,46.00,13.57
MINGUS ONLINE ACADEMY,Arizona,ARIZONA,Mingus Online Academy,0403308,Yavapai County,04025,†,1801 E FIR ST,COTTONWOOD,86326,1801 E FIR ST,9286347531,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.716300,-112.005100,AZ-4488-91320,High,1-Yes,1-Yes,1-Yes,1-Yes,37,37,0,6,17,14,16,21,–,–
MINGUS UNION HIGH SCHOOL,Arizona,ARIZONA,Mingus Union High School,0400430,Yavapai County,04025,http://www.mingusunion.com,1801 E FIR ST,COTTONWOOD,86326,1801 E FIR ST,9286347531,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,34.716300,-112.005100,AZ-4488-6127,High,1-Yes,1-Yes,1-Yes,1-Yes,1165,1165,295,296,282,292,596,569,56.24,20.71
